charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc
-34.1,385.1,96.4,20.02,22,12,-5.3,365.5,33.2,85854.5,1,2017,11,3,16,13,0,2017-11-16 13:17:28,2017-11-16 14:49:28,5520.0,1.5333333333333334,19.600000000000023,63.2,0.0,41.21739130434783,10,0.0,,8.833333333333334,0.31012658227848133
-7.7,399.5,100.0,16.694000000000003,15,8,-7.8,366.9,49.2,85945.1,1,2017,11,3,16,20,0,2017-11-16 20:31:36,2017-11-17 02:16:25,20689.0,5.746944444444445,32.60000000000002,50.8,47.2,8.839479916864033,7,90.60000000000582,1.919491525423852,342.1333333333333,0.6417322834645675
-40.5,382.8,76.0,11.475999999999999,14,7,-29.3,369.2,40.0,86061.7,1,2017,11,4,17,16,0,2017-11-17 16:44:11,2017-11-17 17:28:41,2670.0,0.7416666666666667,13.600000000000023,36.0,60.0,48.53932584269663,7,116.59999999999127,1.943333333333188,867.7666666666667,0.37777777777777843
-7.6,400.3,100.0,18.355999999999998,14,6,-7.6,365.9,43.6,86130.5,1,2017,11,4,17,19,0,2017-11-17 19:31:12,2017-11-18 01:50:41,22769.0,6.324722222222222,34.400000000000034,56.4,32.4,8.917387676226447,8,68.80000000000291,2.1234567901235466,122.51666666666667,0.609929078014185
-40.5,387.0,95.2,19.254,18,7,-23.2,367.2,34.0,86257.0,1,2017,11,5,18,15,0,2017-11-18 15:10:41,2017-11-18 16:25:51,4510.0,1.2527777777777778,19.80000000000001,61.2,66.0,48.851441241685144,11,126.5,1.9166666666666667,800.0,0.32352941176470607
-7.7,398.9,100.0,14.732000000000001,13,5,-7.7,367.3,54.8,86332.9,1,2017,11,5,18,20,0,2017-11-18 20:19:38,2017-11-19 01:23:51,18253.0,5.070277777777778,31.599999999999966,45.2,40.400000000000006,8.91469895359667,8,75.89999999999418,1.8787128712869843,233.78333333333333,0.6991150442477868
-41.2,390.0,96.4,9.094,11,4,-42.2,374.5,68.4,86395.2,1,2017,11,6,19,11,0,2017-11-19 11:59:39,2017-11-19 12:33:49,2050.0,0.5694444444444444,15.5,28.0,31.599999999999994,49.170731707317074,7,62.30000000000291,1.9715189873418646,635.8,0.5535714285714286
-7.6,399.4,100.0,19.267,11,4,-7.6,364.8,40.4,86506.1,1,2017,11,6,19,19,0,2017-11-19 19:34:50,2017-11-20 02:13:20,23910.0,6.641666666666667,34.599999999999966,59.6,56.00000000000001,8.973651191969887,7,110.90000000000873,1.9803571428572986,421.01666666666665,0.5805369127516773
-40.9,379.2,48.4,3.495,14,11,-6.5,362.7,37.6,86630.8,1,2017,11,0,20,13,0,2017-11-20 13:03:14,2017-11-20 13:16:44,810.0,0.225,16.5,10.799999999999997,62.4,47.999999999999986,3,124.69999999999709,1.9983974358973893,649.9,1.5277777777777781
-40.6,380.8,66.4,5.821000000000001,17,13,-41.9,375.3,48.4,86630.8,1,2017,11,0,20,14,0,2017-11-20 14:50:36,2017-11-20 15:12:46,1330.0,0.36944444444444446,5.5,18.000000000000007,0.0,48.721804511278215,4,0.0,,93.86666666666666,0.3055555555555554
-41.3,383.2,84.8,5.767,20,15,-42.0,377.8,66.4,86630.8,1,2017,11,0,20,15,0,2017-11-20 15:41:23,2017-11-20 16:03:13,1310.0,0.3638888888888889,5.399999999999977,18.39999999999999,0.0,50.56488549618319,5,0.0,,28.616666666666667,0.29347826086956413
-7.7,398.7,100.0,20.252,17,6,-7.6,363.8,37.2,86726.5,1,2017,11,0,20,19,0,2017-11-20 19:24:25,2017-11-21 02:23:35,25150.0,6.986111111111111,34.89999999999998,62.8,47.599999999999994,8.989264413518887,11,95.69999999999709,2.0105042016806114,201.2,0.5557324840764328
-40.3,389.9,98.4,18.139,20,9,-29.6,369.4,41.6,86843.6,1,2017,11,1,21,13,0,2017-11-21 13:39:25,2017-11-21 14:50:05,4240.0,1.1777777777777778,20.5,56.800000000000004,58.4,48.22641509433962,11,117.10000000000582,2.0051369863014696,675.8333333333334,0.36091549295774644
-7.7,400.5,100.0,21.658,16,8,-7.8,362.0,33.6,86976.6,1,2017,11,1,21,20,0,2017-11-21 20:46:43,2017-11-22 04:14:53,26890.0,7.469444444444444,38.5,66.4,64.80000000000001,8.889550018594274,8,133.0,2.0524691358024687,356.6333333333333,0.5798192771084337
-40.0,389.8,98.8,20.965999999999998,22,12,-23.3,365.6,32.0,87117.1,1,2017,11,2,22,13,0,2017-11-22 13:50:30,2017-11-22 15:12:30,4920.0,1.3666666666666667,24.19999999999999,66.8,68.0,48.8780487804878,10,140.5,2.0661764705882355,575.6166666666667,0.36227544910179627
-7.7,399.0,100.0,21.38,16,7,-7.7,362.2,34.8,87244.7,1,2017,11,2,22,21,0,2017-11-22 21:15:00,2017-11-23 04:37:40,26560.0,7.377777777777778,36.80000000000001,65.2,64.0,8.837349397590362,9,127.59999999999127,1.9937499999998636,362.5,0.5644171779141106
-7.7,397.0,100.0,20.728,12,6,-7.6,363.7,36.0,87367.9,1,2017,11,3,23,18,0,2017-11-23 18:05:00,2017-11-24 01:14:00,25740.0,7.15,33.30000000000001,64.0,64.0,8.95104895104895,6,123.19999999999709,1.9249999999999545,807.3333333333334,0.5203125000000002
-40.4,390.1,98.4,17.621,19,9,-31.3,368.1,43.2,87477.3,1,2017,11,4,24,14,0,2017-11-24 14:40:28,2017-11-24 15:49:08,4120.0,1.1444444444444444,22.0,55.2,56.8,48.23300970873787,10,109.40000000000873,1.9260563380283229,806.4666666666667,0.39855072463768115
-7.6,400.5,100.0,22.6,16,7,-7.6,360.3,30.0,87611.9,1,2017,11,4,24,21,0,2017-11-24 21:16:23,2017-11-25 05:04:23,28080.0,7.8,40.19999999999999,70.0,68.4,8.974358974358974,9,134.59999999999127,1.9678362573098138,327.25,0.5742857142857142
-39.7,389.7,98.0,19.332,21,11,-26.5,367.5,37.2,87731.7,1,2017,11,5,25,15,0,2017-11-25 15:01:32,2017-11-25 16:17:52,4580.0,1.2722222222222221,22.19999999999999,60.8,62.8,47.790393013100434,10,119.80000000000291,1.9076433121019574,597.15,0.36513157894736825
-7.7,400.3,100.0,22.897,17,8,-7.7,359.9,29.2,87872.9,1,2017,11,5,25,21,0,2017-11-25 21:24:17,2017-11-26 05:18:51,28474.0,7.9094444444444445,40.400000000000034,70.8,68.8,8.951324014890778,9,141.1999999999971,2.0523255813953067,306.4166666666667,0.5706214689265542
-400.0,0.0,0.0,21.483,21,8,-26.3,365.9,31.2,88006.7,1,2017,11,6,26,13,0,2017-11-26 13:20:24,2017-11-26 14:43:44,5000.0,1.3888888888888888,-365.9,-31.2,68.8,-22.464,13,133.8000000000029,1.9447674418605074,481.55,11.727564102564102
-7.6,399.0,100.0,20.430999999999997,16,3,-7.7,364.3,37.2,88129.2,1,2017,11,6,26,19,0,2017-11-26 19:33:15,2017-11-27 02:36:06,25371.0,7.0475,34.69999999999999,62.8,-37.2,8.910961333806313,13,122.5,-3.293010752688172,289.51666666666665,0.5525477707006368
-40.1,390.1,98.4,15.130999999999998,17,8,-31.3,370.8,51.2,88220.3,1,2017,11,0,27,13,0,2017-11-27 13:59:51,2017-11-27 14:58:51,3540.0,0.9833333333333333,19.30000000000001,47.2,48.8,48.00000000000001,9,91.10000000000582,1.866803278688644,683.75,0.408898305084746
-7.7,399.4,100.0,21.421999999999997,15,7,-7.8,362.0,34.0,88343.5,1,2017,11,0,27,20,0,2017-11-27 20:24:51,2017-11-28 03:48:11,26600.0,7.388888888888889,37.39999999999998,66.0,64.4,8.932330827067668,8,123.19999999999709,1.913043478260824,326.0,0.5666666666666663
-40.7,384.0,92.0,18.659000000000002,21,11,-26.9,365.2,33.2,88474.3,1,2017,11,1,28,13,0,2017-11-28 13:53:07,2017-11-28 15:05:57,4370.0,1.2138888888888888,18.80000000000001,58.8,66.8,48.43935926773455,10,130.8000000000029,1.958083832335373,604.9333333333333,0.3197278911564628
-7.6,399.6,100.0,17.406,14,5,-7.7,366.3,47.6,88567.6,1,2017,11,1,28,19,0,2017-11-28 19:55:52,2017-11-29 01:55:31,21579.0,5.994166666666667,33.30000000000001,52.4,44.4,8.7418323369943,9,93.30000000000291,2.101351351351417,289.9166666666667,0.6354961832061071
-40.7,389.3,96.4,14.966,14,4,-40.4,373.1,50.0,88664.4,1,2017,11,2,29,14,0,2017-11-29 14:15:20,2017-11-29 15:12:40,3440.0,0.9555555555555556,16.19999999999999,46.400000000000006,50.0,48.55813953488372,10,96.79999999998836,1.9359999999997672,739.8166666666667,0.3491379310344825
-7.7,398.4,100.0,18.879,11,3,-7.7,364.6,42.0,88773.2,1,2017,11,2,29,19,0,2017-11-29 19:47:55,2017-11-30 02:18:25,23430.0,6.508333333333334,33.799999999999955,58.0,54.400000000000006,8.911651728553137,8,108.80000000000291,2.0000000000000533,275.25,0.5827586206896543
-48.0,390.0,96.8,15.884,16,5,-7.1,365.5,47.2,88873.5,1,2017,11,3,30,12,0,2017-11-30 12:56:16,2017-11-30 13:47:56,3100.0,0.8611111111111112,24.5,49.599999999999994,52.8,57.59999999999999,11,100.30000000000291,1.8996212121212674,637.85,0.49395161290322587
-7.8,399.0,100.0,10.181000000000001,14,5,-7.7,368.2,69.6,88929.7,1,2017,11,3,30,17,0,2017-11-30 17:20:29,2017-11-30 20:50:09,12580.0,3.4944444444444445,30.80000000000001,30.400000000000006,27.200000000000003,8.699523052464231,9,56.19999999999709,2.066176470588128,212.55,1.0131578947368423
-41.7,390.0,97.6,14.769,15,5,-2.4,364.5,51.2,89023.7,1,2017,12,4,1,12,0,2017-12-01 12:08:46,2017-12-01 13:04:36,3350.0,0.9305555555555556,25.5,46.39999999999999,48.8,49.86268656716417,10,94.0,1.9262295081967213,918.6166666666667,0.5495689655172414
-7.7,398.7,100.0,19.292,12,3,-7.7,364.3,40.4,89130.6,1,2017,12,4,1,19,0,2017-12-01 19:23:44,2017-12-02 02:02:53,23949.0,6.6525,34.39999999999998,59.6,57.199999999999996,8.959037955655768,9,106.90000000000873,1.8688811188812717,379.1333333333333,0.5771812080536909
-44.3,389.3,97.6,17.652,19,8,-44.5,371.6,42.4,89243.0,1,2017,12,5,2,13,0,2017-12-02 13:11:50,2017-12-02 14:13:50,3720.0,1.0333333333333334,17.69999999999999,55.199999999999996,57.6,53.419354838709666,11,112.39999999999418,1.9513888888887878,668.95,0.3206521739130433
-7.7,397.8,100.0,23.539,16,4,-7.7,358.7,27.6,89380.3,1,2017,12,5,2,20,0,2017-12-02 20:24:37,2017-12-03 04:32:37,29280.0,8.133333333333333,39.10000000000002,72.4,70.0,8.901639344262296,12,137.3000000000029,1.961428571428613,370.78333333333336,0.5400552486187848
-45.6,381.5,64.0,3.012,11,7,-44.4,373.6,54.4,89466.1,1,2017,12,6,3,12,0,2017-12-03 12:28:38,2017-12-03 12:39:18,640.0,0.17777777777777778,7.899999999999977,9.600000000000001,45.6,54.00000000000001,4,85.80000000000291,1.8815789473684847,476.01666666666665,0.8229166666666642
-44.5,390.0,97.2,10.744000000000002,16,9,-5.5,369.4,64.0,89466.1,1,2017,12,6,3,13,0,2017-12-03 13:26:43,2017-12-03 14:04:23,2260.0,0.6277777777777778,20.600000000000023,33.2,0.0,52.88495575221239,7,0.0,,47.416666666666664,0.620481927710844
-7.8,398.7,100.0,17.535,13,4,-7.7,366.1,46.4,89564.0,1,2017,12,6,3,19,0,2017-12-03 19:32:21,2017-12-04 01:35:00,21759.0,6.0441666666666665,32.599999999999966,53.6,50.800000000000004,8.86805459809734,9,97.89999999999418,1.927165354330594,327.96666666666664,0.60820895522388
-300.0,0.0,0.0,13.912,18,8,-1.1,357.1,27.2,89705.0,1,2017,12,0,4,12,0,2017-12-04 12:56:24,2017-12-04 13:41:44,2720.0,0.7555555555555555,-357.1,-27.2,72.8,-36.0,10,141.0,1.9368131868131868,681.4,13.128676470588237
-7.6,396.8,100.0,19.244,14,5,-7.6,364.9,41.2,89768.9,1,2017,12,0,4,17,0,2017-12-04 17:09:35,2017-12-04 23:47:15,23860.0,6.627777777777778,31.900000000000034,58.8,-41.2,8.871751886001675,9,63.89999999999418,-1.5509708737862664,207.85,0.5425170068027217
-7.7,399.0,100.0,10.975999999999999,7,4,-7.7,366.9,66.4,89827.5,1,2017,12,1,5,20,0,2017-12-05 20:09:27,2017-12-05 23:55:47,13580.0,3.772222222222222,32.10000000000002,33.599999999999994,33.599999999999994,8.90721649484536,3,58.60000000000582,1.7440476190477925,1222.2,0.9553571428571437
-7.7,396.3,100.0,23.038,14,8,-7.6,359.8,28.4,89963.6,1,2017,12,2,6,18,0,2017-12-06 18:40:51,2017-12-07 02:37:50,28619.0,7.949722222222222,36.5,71.6,71.6,9.006604004332784,6,136.10000000000582,1.9008379888268971,1125.0666666666666,0.5097765363128492
-40.1,379.9,48.4,3.553,12,8,-23.0,367.2,37.2,90080.1,1,2017,12,3,7,15,0,2017-12-07 15:37:45,2017-12-07 15:51:45,840.0,0.23333333333333334,12.699999999999989,11.199999999999996,62.8,47.99999999999998,4,116.5,1.855095541401274,779.9166666666666,1.133928571428571
-7.7,397.8,100.0,22.022,8,4,-7.6,360.1,32.0,90106.9,1,2017,12,3,7,21,0,2017-12-07 21:09:36,2017-12-08 04:45:05,27329.0,7.591388888888889,37.69999999999999,68.0,16.4,8.957517655238025,4,26.79999999998836,1.6341463414627049,317.85,0.5544117647058822
-41.0,389.9,98.4,20.223,20,8,-39.7,367.6,35.2,90207.5,1,2017,12,4,8,14,0,2017-12-08 14:16:24,2017-12-08 15:34:04,4660.0,1.2944444444444445,22.299999999999955,63.2,64.8,48.82403433476395,12,100.60000000000582,1.552469135802559,571.3166666666667,0.35284810126582206
-7.7,398.6,100.0,15.08,15,6,-7.8,367.4,54.4,90281.6,1,2017,12,4,8,19,0,2017-12-08 19:51:51,2017-12-09 01:03:21,18690.0,5.191666666666666,31.200000000000045,45.6,44.00000000000001,8.78330658105939,9,74.10000000000582,1.6840909090910412,257.78333333333336,0.6842105263157905
-40.4,383.5,88.0,15.529000000000002,17,7,-23.1,367.6,38.8,90402.5,1,2017,12,5,9,11,0,2017-12-09 11:00:06,2017-12-09 12:00:56,3650.0,1.0138888888888888,15.899999999999977,49.2,61.2,48.52602739726028,10,120.89999999999418,1.9754901960783362,596.75,0.3231707317073166
-40.7,387.1,96.4,12.029000000000002,21,13,-26.4,370.7,58.8,90467.7,1,2017,12,5,9,16,0,2017-12-09 16:06:54,2017-12-09 16:53:54,2820.0,0.7833333333333333,16.400000000000034,37.60000000000001,29.200000000000003,48.000000000000014,8,65.19999999999709,2.2328767123286672,245.96666666666667,0.43617021276595824
-41.2,384.6,91.6,14.339,18,9,-39.4,371.9,46.4,90636.0,1,2017,12,6,10,14,0,2017-12-10 14:46:12,2017-12-10 15:41:32,3320.0,0.9222222222222223,12.700000000000045,45.199999999999996,50.00000000000001,49.012048192771076,9,168.3000000000029,3.366000000000058,1312.3,0.2809734513274347
-7.6,399.2,100.0,21.557,15,6,-7.7,362.0,33.2,90726.3,1,2017,12,6,10,19,0,2017-12-10 19:48:15,2017-12-11 03:14:44,26789.0,7.441388888888889,37.19999999999999,66.8,58.39999999999999,8.97681884355519,9,90.30000000000291,1.5462328767123787,246.71666666666667,0.55688622754491
-7.7,377.1,86.8,0.449,4,-1,-7.7,373.0,85.6,90748.5,1,2017,12,0,11,10,0,2017-12-11 10:45:58,2017-12-11 10:55:18,560.0,0.15555555555555556,4.100000000000023,1.2000000000000028,14.400000000000006,7.714285714285732,5,22.19999999999709,1.541666666666464,451.23333333333335,3.4166666666666776
-7.7,397.6,100.0,21.526,8,3,-7.7,362.4,33.2,90837.1,1,2017,12,0,11,17,0,2017-12-11 17:22:15,2017-12-12 00:47:54,26739.0,7.4275,35.200000000000045,66.8,53.599999999999994,8.99360484685291,5,88.60000000000582,1.6529850746269745,386.95,0.5269461077844318
-40.1,384.0,70.4,3.781,6,0,-22.8,371.9,58.8,90907.8,1,2017,12,1,12,10,0,2017-12-12 10:20:20,2017-12-12 10:35:10,890.0,0.24722222222222223,12.100000000000023,11.600000000000009,41.2,46.921348314606774,6,70.69999999999709,1.7160194174756573,572.4333333333333,1.0431034482758632
-40.0,390.0,96.0,8.242,10,3,-26.1,376.2,70.4,90908.0,1,2017,12,1,12,10,0,2017-12-12 10:43:12,2017-12-12 11:15:12,1920.0,0.5333333333333333,13.800000000000011,25.599999999999994,0.0,47.99999999999999,7,0.19999999999708962,inf,8.033333333333333,0.5390625000000006
-40.0,383.5,80.0,8.53,14,5,-22.8,370.8,53.2,90988.4,1,2017,12,1,12,15,0,2017-12-12 15:29:23,2017-12-12 16:02:53,2010.0,0.5583333333333333,12.699999999999989,26.799999999999997,42.8,47.99999999999999,9,80.39999999999418,1.8785046728970605,254.18333333333334,0.473880597014925
-7.6,397.7,100.0,20.359,11,1,-7.6,362.6,37.2,91052.8,1,2017,12,1,12,19,0,2017-12-12 19:18:46,2017-12-13 02:20:06,25280.0,7.022222222222222,35.099999999999966,62.8,42.8,8.943037974683543,10,64.40000000000873,1.5046728971964658,195.88333333333333,0.5589171974522288
-2.5,370.8,80.4,0.087,3,-2,-11.0,371.9,80.4,91084.4,1,2017,12,2,13,8,0,2017-12-13 08:38:32,2017-12-13 08:42:08,216.0,0.06,-1.099999999999966,0.0,19.599999999999994,0.0,5,31.59999999999127,1.6122448979587387,378.43333333333334,-inf
-7.7,379.6,96.0,4.947,4,-2,-7.6,372.2,80.4,91084.5,1,2017,12,2,13,8,0,2017-12-13 08:45:54,2017-12-13 10:28:14,6140.0,1.7055555555555555,7.400000000000034,15.599999999999994,0.0,9.146579804560258,6,0.10000000000582077,inf,3.7666666666666666,0.4743589743589767
-40.5,380.7,54.4,3.2689999999999997,9,5,-22.9,370.2,44.4,91192.1,1,2017,12,2,13,15,0,2017-12-13 15:05:26,2017-12-13 15:18:16,770.0,0.21388888888888888,10.5,10.0,51.6,46.753246753246756,4,107.60000000000582,2.0852713178295703,277.2,1.05
-7.8,398.7,100.0,20.941,9,3,-7.7,362.5,35.2,91222.0,1,2017,12,2,13,17,0,2017-12-13 17:43:29,2017-12-14 00:56:48,25999.0,7.2219444444444445,36.19999999999999,64.8,19.199999999999996,8.972652794338243,6,29.89999999999418,1.5572916666663639,145.21666666666667,0.5586419753086418
-43.1,390.0,97.2,14.190999999999999,14,4,-34.7,372.7,52.8,91312.5,1,2017,12,3,14,12,0,2017-12-14 12:42:17,2017-12-14 13:33:57,3100.0,0.8611111111111112,17.30000000000001,44.400000000000006,47.2,51.561290322580646,10,90.5,1.917372881355932,705.4833333333333,0.3896396396396398
-7.8,396.4,100.0,23.034000000000002,13,4,-7.6,359.0,28.8,91416.7,1,2017,12,3,14,20,0,2017-12-14 20:43:22,2017-12-15 04:40:55,28653.0,7.9591666666666665,37.39999999999998,71.2,68.4,8.945660140299445,9,104.19999999999709,1.5233918128654544,429.4166666666667,0.5252808988764042
