charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc,sum_charge,phase,energy/dsoc,P/kW,charge_mode
-7.4,382.6,100.0,19.703,20,10,-7.6,348.8,36.0,94465.3,4,2017,11,6,12,18,0,2017-11-12 18:27:59,2017-11-13 01:42:39,26080.0,7.2444444444444445,33.80000000000001,64.0,62.400000000000006,8.83435582822086,10,83.69999999999709,1.3413461538461071,281.71666666666664,0.5281250000000002,71.56499999999998,0,0.307859375,2.719739263803681,1
-7.5,382.6,100.0,20.227,18,10,-7.5,348.3,33.6,94656.4,4,2017,11,0,13,19,0,2017-11-13 19:09:09,2017-11-14 02:35:50,26801.0,7.4447222222222225,34.30000000000001,66.4,-33.6,8.91907018394836,8,96.09999999999127,-2.8601190476187877,318.9,0.5165662650602411,80.33249999999998,0,0.3046234939759036,2.7169583224506546,1
-7.6,382.8,100.0,6.335,10,6,-7.6,355.9,79.2,94682.2,4,2017,11,1,14,8,0,2017-11-14 08:32:15,2017-11-14 10:51:37,8362.0,2.3227777777777776,26.900000000000034,20.799999999999997,20.799999999999997,8.95479550346807,4,25.80000000000291,1.2403846153847555,356.4166666666667,1.2932692307692326,82.65527777777775,0,0.3045673076923077,2.727337957426453,1
-40.5,369.0,94.4,8.195,14,9,-23.0,355.6,67.2,94729.7,4,2017,11,1,14,14,0,2017-11-14 14:14:45,2017-11-14 14:48:06,2001.0,0.5558333333333333,13.399999999999977,27.200000000000003,32.8,48.935532233883066,5,47.5,1.4481707317073171,203.13333333333333,0.49264705882352855,83.2111111111111,0,0.30128676470588234,14.743628185907047,2
-7.6,383.0,100.0,17.393,13,7,-7.4,350.9,42.0,94798.0,4,2017,11,1,14,19,0,2017-11-14 19:06:06,2017-11-15 01:30:44,23078.0,6.410555555555556,32.10000000000002,58.0,52.400000000000006,9.047577779703614,6,68.30000000000291,1.3034351145038723,258.0,0.5534482758620693,89.62166666666666,0,0.2998793103448276,2.7131813848687063,1
-40.9,374.3,98.0,16.46,15,5,-39.4,355.5,43.6,94872.8,4,2017,11,2,15,10,0,2017-11-15 10:19:44,2017-11-15 11:25:57,3973.0,1.103611111111111,18.80000000000001,54.4,56.4,49.29272589982381,10,74.80000000000291,1.3262411347518246,529.0,0.34558823529411786,90.72527777777776,0,0.30257352941176474,14.914674049836396,2
-40.4,368.5,92.4,18.117,18,8,-22.8,349.7,32.0,95063.6,4,2017,11,3,16,12,0,2017-11-16 12:48:15,2017-11-16 14:02:27,4452.0,1.2366666666666666,18.80000000000001,60.400000000000006,68.0,48.84097035040432,10,96.40000000000873,1.4176470588236578,535.0833333333334,0.3112582781456955,102.27749999999999,0,0.2999503311258278,14.649865229110514,2
-7.5,383.0,100.0,20.605,17,8,-7.6,347.5,32.0,95147.2,4,2017,11,3,16,18,0,2017-11-16 18:32:49,2017-11-17 02:08:15,27326.0,7.5905555555555555,35.5,68.0,60.400000000000006,8.958501061260339,9,83.59999999999127,1.384105960264756,270.3666666666667,0.5220588235294118,109.86805555555554,0,0.30301470588235296,2.714557564224548,1
-40.4,366.9,87.2,16.343,17,9,-39.3,352.2,33.2,95233.6,4,2017,11,4,17,12,0,2017-11-17 12:09:59,2017-11-17 13:16:51,4012.0,1.1144444444444443,14.699999999999989,54.0,66.8,48.45463609172483,8,86.40000000000873,1.2934131736528254,601.7333333333333,0.27222222222222203,110.98249999999999,0,0.30264814814814817,14.664705882352942,2
-7.6,382.7,100.0,20.059,9,3,-7.5,350.7,33.2,95309.3,4,2017,11,4,17,22,0,2017-11-17 22:03:18,2017-11-18 05:27:50,26672.0,7.408888888888889,32.0,66.8,54.0,9.01619676064787,6,75.69999999999709,1.401851851851798,526.45,0.47904191616766467,118.39138888888888,0,0.3002844311377246,2.7074235152969406,1
-19.1,370.8,98.4,19.939,18,6,-30.7,350.4,32.8,95396.2,4,2017,11,5,18,12,0,2017-11-18 12:31:53,2017-11-18 13:54:15,4942.0,1.3727777777777779,20.400000000000034,65.60000000000001,67.2,47.786321327397815,12,86.89999999999418,1.2931547619046753,424.05,0.31097560975609806,119.76416666666667,0,0.30394817073170727,14.524564953460137,2
-7.6,383.4,100.0,19.92,15,5,-7.6,348.5,34.0,95494.5,4,2017,11,5,18,18,0,2017-11-18 18:13:57,2017-11-19 01:35:17,26480.0,7.355555555555555,34.89999999999998,66.0,64.4,8.972809667673717,10,98.30000000000291,1.5263975155279954,259.7,0.5287878787878785,127.11972222222222,0,0.3018181818181818,2.7081570996978854,1
-40.3,370.7,95.6,19.278,17,6,-23.0,350.0,32.0,95579.5,4,2017,11,6,19,13,0,2017-11-19 13:10:35,2017-11-19 14:30:17,4782.0,1.3283333333333334,20.69999999999999,63.599999999999994,68.0,47.87954830614805,11,85.0,1.25,695.3,0.3254716981132074,128.44805555555556,0,0.3031132075471698,14.512923462986198,2
-7.5,383.5,100.0,19.594,13,5,-7.6,351.1,35.2,95653.9,4,2017,11,6,19,20,0,2017-11-19 20:43:18,2017-11-20 03:57:30,26052.0,7.236666666666666,32.39999999999998,64.8,60.39999999999999,8.954398894518654,8,74.39999999999418,1.2317880794701024,373.01666666666665,0.49999999999999967,135.68472222222223,0,0.30237654320987656,2.7076001842468913,1
-40.1,372.7,97.6,18.71,19,9,-23.2,351.6,36.0,95733.4,4,2017,11,0,20,12,0,2017-11-20 12:24:39,2017-11-20 13:41:31,4612.0,1.281111111111111,21.099999999999966,61.599999999999994,64.0,48.08326105810928,10,79.5,1.2421875,507.15,0.342532467532467,136.96583333333334,0,0.3037337662337663,14.604509973980921,2
-7.7,383.5,100.0,19.15,16,7,-7.5,349.2,36.0,95811.1,4,2017,11,0,20,18,0,2017-11-20 18:45:48,2017-11-21 01:49:15,25407.0,7.0575,34.30000000000001,64.0,61.599999999999994,9.068366985476443,9,77.70000000001164,1.2613636363638254,304.28333333333336,0.5359375000000002,144.02333333333334,0,0.29921875,2.7134254339355293,1
-40.7,369.6,94.0,18.308,18,8,-39.2,351.9,33.6,95898.4,4,2017,11,1,21,13,0,2017-11-21 13:22:13,2017-11-21 14:36:46,4473.0,1.2425,17.700000000000045,60.4,66.4,48.61167002012073,10,87.29999999998836,1.3147590361444028,692.9666666666667,0.2930463576158948,145.26583333333335,0,0.303112582781457,14.734808853118713,2
-7.5,383.7,100.0,19.83,16,8,-7.5,348.9,34.0,95981.3,4,2017,11,1,21,19,0,2017-11-21 19:21:39,2017-11-22 02:40:28,26329.0,7.313611111111111,34.80000000000001,66.0,60.0,9.02426981655209,8,82.90000000000873,1.3816666666668123,284.8833333333333,0.5272727272727274,152.57944444444445,0,0.3004545454545454,2.7113828857913322,1
-40.3,370.6,95.6,18.729,19,9,-26.1,351.5,33.6,96072.3,4,2017,11,2,22,12,0,2017-11-22 12:34:38,2017-11-22 13:51:49,4631.0,1.2863888888888888,19.100000000000023,61.99999999999999,66.4,48.19693370762254,10,91.0,1.3704819277108433,594.1666666666666,0.3080645161290327,153.86583333333334,0,0.30208064516129035,14.559360829194558,2
-7.5,383.4,100.0,19.275,12,6,-7.5,351.3,36.0,96167.7,4,2017,11,2,22,21,0,2017-11-22 21:34:26,2017-11-23 04:41:17,25611.0,7.114166666666667,32.099999999999966,64.0,59.599999999999994,8.996134473468432,6,95.39999999999418,1.6006711409394998,462.6166666666667,0.5015624999999995,160.98000000000002,0,0.301171875,2.709382687126625,1
-40.3,373.4,98.0,19.045,18,8,-31.3,350.7,35.2,96248.3,4,2017,11,3,23,12,0,2017-11-23 12:06:43,2017-11-23 13:24:38,4675.0,1.2986111111111112,22.69999999999999,62.8,64.8,48.359358288770046,10,80.60000000000582,1.243827160493917,445.43333333333334,0.36146496815286605,162.27861111111113,0,0.30326433121019114,14.665668449197861,2
-7.5,382.8,100.0,20.865,13,5,-7.5,349.2,31.2,96338.2,4,2017,11,3,23,21,0,2017-11-23 21:07:26,2017-11-24 04:50:08,27762.0,7.711666666666667,33.60000000000002,68.8,66.8,8.92154743894532,8,89.89999999999418,1.3458083832334458,462.8,0.4883720930232562,169.9902777777778,0,0.30327034883720927,2.7056408039766584,1
-22.3,372.9,100.0,19.808,18,7,-23.0,350.2,32.0,96429.4,4,2017,11,4,24,12,0,2017-11-24 12:18:12,2017-11-24 13:39:35,4883.0,1.3563888888888889,22.69999999999999,68.0,68.0,50.133114888388285,11,91.19999999999709,1.3411764705881926,448.06666666666666,0.3338235294117645,171.3466666666667,0,0.2912941176470588,14.603481466311694,2
-7.5,383.5,100.0,20.012999999999998,12,5,-7.5,350.5,35.2,96516.3,4,2017,11,4,24,21,0,2017-11-24 21:34:38,2017-11-25 04:57:51,26593.0,7.3869444444444445,33.0,64.8,64.8,8.77223329447599,7,86.90000000000873,1.3410493827161842,475.05,0.5092592592592593,178.73361111111114,0,0.30884259259259256,2.7092392734930244,0
-39.8,371.8,97.2,20.186,19,9,-18.4,348.1,30.4,96610.6,4,2017,11,5,25,12,0,2017-11-25 12:10:06,2017-11-25 13:33:30,5004.0,1.39,23.69999999999999,66.80000000000001,69.6,48.057553956834546,10,94.30000000000291,1.3548850574713063,432.25,0.3547904191616764,180.12361111111113,0,0.3021856287425149,14.522302158273382,2
-7.5,383.2,100.0,20.804000000000002,14,6,-7.4,349.3,31.2,96708.8,4,2017,11,5,25,21,0,2017-11-25 21:20:29,2017-11-26 05:01:21,27652.0,7.681111111111111,33.89999999999998,68.8,66.0,8.957037465644438,8,98.19999999999709,1.4878787878787438,466.98333333333335,0.4927325581395346,187.80472222222224,0,0.3023837209302326,2.7084623173730655,1
-39.9,368.7,93.2,18.9,18,7,-22.5,349.8,30.8,96800.2,4,2017,11,6,26,13,0,2017-11-26 13:23:35,2017-11-26 14:41:18,4663.0,1.2952777777777778,18.899999999999977,62.400000000000006,69.2,48.174994638644655,11,91.39999999999418,1.320809248554829,502.23333333333335,0.302884615384615,189.10000000000002,0,0.3028846153846153,14.591464722281792,2
-7.6,382.9,100.0,19.92,15,3,-7.4,348.1,33.2,96876.5,4,2017,11,6,26,19,0,2017-11-26 19:03:19,2017-11-27 02:24:31,26472.0,7.3533333333333335,34.799999999999955,66.8,60.0,9.084315503173164,12,76.30000000000291,1.2716666666667151,262.01666666666665,0.5209580838323347,196.45333333333335,0,0.2982035928143713,2.7089755213055304,1
-40.1,369.0,94.0,18.592,17,7,-18.3,349.2,32.0,96967.9,4,2017,11,0,27,11,0,2017-11-27 11:32:36,2017-11-27 12:49:29,4613.0,1.281388888888889,19.80000000000001,62.0,68.0,48.38499891610665,10,91.39999999999418,1.344117647058738,548.0833333333334,0.3193548387096776,197.73472222222225,0,0.29987096774193545,14.5092564491654,2
-7.6,382.8,100.0,18.593,11,6,-7.4,352.1,38.0,97043.8,4,2017,11,0,27,21,0,2017-11-27 21:41:31,2017-11-28 04:33:10,24699.0,6.860833333333333,30.69999999999999,62.0,56.0,9.03680310943763,5,75.90000000000873,1.3553571428572988,532.0333333333333,0.49516129032258044,204.5955555555556,0,0.29988709677419356,2.7100206486092557,1
-7.5,382.8,100.0,14.931,8,3,-7.5,354.4,50.4,97107.3,4,2017,11,1,28,20,0,2017-11-28 20:20:18,2017-11-29 01:50:37,19819.0,5.505277777777778,28.400000000000034,49.6,49.6,9.009536303547101,5,63.5,1.280241935483871,947.1333333333333,0.572580645161291,210.10083333333336,0,0.3010282258064516,2.7121247287956,1
-40.0,372.2,96.4,18.921,14,3,-18.2,350.0,35.2,97190.0,4,2017,11,2,29,13,0,2017-11-29 13:09:01,2017-11-29 14:37:32,5311.0,1.4752777777777777,22.19999999999999,61.2,64.8,41.483713048390136,11,82.69999999999709,1.2762345679011897,678.4,0.3627450980392155,211.57611111111115,0,0.30916666666666665,12.825381284127284,2
-7.5,381.0,100.0,16.791,13,2,-7.4,354.1,44.4,97260.5,4,2017,11,2,29,21,0,2017-11-29 21:23:30,2017-11-30 04:01:01,23851.0,6.625277777777778,26.899999999999977,55.6,52.00000000000001,8.392100960127458,11,70.5,1.3557692307692306,405.96666666666664,0.48381294964028737,218.2013888888889,0,0.30199640287769786,2.5343843025449666,0
-40.4,381.1,98.8,17.844,15,4,-19.9,351.9,40.0,97335.5,4,2017,11,3,30,13,0,2017-11-30 13:09:11,2017-11-30 14:27:43,4712.0,1.308888888888889,29.200000000000045,58.8,60.0,44.92359932088284,11,75.0,1.25,548.1666666666666,0.4965986394557831,219.51027777777782,0,0.30346938775510207,13.632937181663836,2
-7.4,383.5,100.0,20.741,18,2,-7.5,349.7,32.0,97433.5,4,2017,11,3,30,21,0,2017-11-30 21:05:06,2017-12-01 05:12:28,29242.0,8.122777777777777,33.80000000000001,68.0,66.8,8.37152041584023,16,98.0,1.4670658682634732,397.3833333333333,0.49705882352941194,227.6330555555556,0,0.3050147058823529,2.553436837425621,0
-19.3,372.1,98.0,18.519000000000002,16,5,-23.1,353.4,37.2,97515.7,4,2017,12,4,1,12,0,2017-12-01 12:41:11,2017-12-01 13:57:03,4552.0,1.2644444444444445,18.700000000000045,60.8,62.8,48.08435852372583,11,82.19999999999709,1.308917197452183,448.71666666666664,0.30756578947368496,228.89750000000004,0,0.3045888157894737,14.645957820738138,2
-7.5,383.4,100.0,17.692999999999998,12,3,-7.5,350.7,41.2,97592.7,4,2017,12,4,1,19,0,2017-12-01 19:29:53,2017-12-02 02:02:00,23527.0,6.535277777777778,32.69999999999999,58.8,56.8,8.997322225528116,9,77.0,1.3556338028169015,332.8333333333333,0.5561224489795916,235.4327777777778,0,0.3009013605442177,2.7073064989161386,1
-40.1,367.7,90.4,17.52,16,6,-26.1,350.9,32.0,97677.7,4,2017,12,5,2,12,0,2017-12-02 12:40:53,2017-12-02 13:52:57,4324.0,1.201111111111111,16.80000000000001,58.400000000000006,68.0,48.62164662349677,10,85.0,1.25,638.8833333333333,0.2876712328767125,236.63388888888892,0,0.3,14.58649398704903,2
-7.5,383.0,100.0,18.243,15,6,-7.5,349.8,40.0,97742.8,4,2017,12,5,2,17,0,2017-12-02 17:40:03,2017-12-03 00:23:44,24221.0,6.728055555555556,33.19999999999999,60.0,50.400000000000006,8.917881177490607,9,65.10000000000582,1.291666666666782,227.1,0.5533333333333331,243.36194444444448,0,0.30405,2.7114817720160187,1
-40.0,374.7,98.0,18.406,13,3,-23.0,351.4,37.2,97818.0,4,2017,12,0,4,12,0,2017-12-04 12:29:08,2017-12-04 13:59:19,5411.0,1.5030555555555556,23.30000000000001,60.8,62.8,40.450933284051004,10,75.19999999999709,1.1974522292993168,2165.4,0.3832236842105265,244.86500000000004,0,0.30273026315789475,12.245721678063203,2
-7.6,382.6,100.0,18.095,10,3,-7.5,352.8,39.6,97893.6,4,2017,12,0,4,20,0,2017-12-04 20:39:35,2017-12-05 03:20:34,24059.0,6.683055555555556,29.80000000000001,60.4,58.4,9.037782118957562,7,75.60000000000582,1.2945205479453052,400.26666666666665,0.4933774834437088,251.5480555555556,0,0.2995860927152318,2.707593831830084,1
-7.5,383.4,100.0,19.057000000000002,12,4,-7.4,351.7,36.0,98048.3,4,2017,12,1,5,20,0,2017-12-05 20:41:41,2017-12-06 03:43:59,25338.0,7.038333333333333,31.69999999999999,64.0,57.599999999999994,9.093061804404453,8,73.60000000000582,1.277777777777879,372.1666666666667,0.4953124999999998,259.99472222222226,0,0.29776562500000003,2.7076012313521196,1
-40.5,372.9,97.6,19.052,19,8,-39.2,352.2,34.0,98133.9,4,2017,12,2,6,12,0,2017-12-06 12:47:16,2017-12-06 14:04:58,4662.0,1.295,20.69999999999999,63.599999999999994,66.0,49.11196911196911,11,85.59999999999127,1.2969696969695648,543.2833333333333,0.3254716981132074,261.2897222222223,0,0.29955974842767297,14.711969111969113,2
-7.4,383.2,100.0,18.795,13,6,-7.5,351.7,38.0,98217.3,4,2017,12,2,6,21,0,2017-12-06 21:13:13,2017-12-07 04:09:15,24962.0,6.933888888888889,31.5,62.0,59.599999999999994,8.94159121865235,7,83.40000000000873,1.3993288590605493,428.25,0.5080645161290323,268.22361111111115,0,0.3031451612903226,2.7106001121704995,1
-19.4,383.5,99.6,19.89,19,7,-22.7,351.5,34.0,98300.4,4,2017,12,3,7,12,0,2017-12-07 12:46:32,2017-12-07 14:09:15,4963.0,1.378611111111111,32.0,65.6,66.0,47.58412250654846,12,83.09999999999127,1.2590909090907767,517.2833333333333,0.48780487804878053,269.6022222222223,0,0.30320121951219514,14.427563973403185,2
-7.5,383.4,100.0,16.581,10,3,-7.4,354.3,45.2,98370.3,4,2017,12,3,7,21,0,2017-12-07 21:40:26,2017-12-08 03:47:37,22031.0,6.119722222222222,29.099999999999966,54.8,54.39999999999999,8.954654804593527,7,69.90000000000873,1.284926470588396,451.18333333333334,0.5310218978102184,275.7219444444445,0,0.30257299270072996,2.7094367028278334,1
-40.8,374.0,98.0,15.815,14,4,-22.7,353.1,46.0,98438.7,4,2017,12,4,8,11,0,2017-12-08 11:09:17,2017-12-08 12:17:19,4082.0,1.133888888888889,20.899999999999977,52.0,54.0,45.859872611464965,10,68.39999999999418,1.266666666666559,441.6666666666667,0.4019230769230765,276.85583333333335,0,0.3041346153846154,13.947574718275353,2
-7.5,383.4,100.0,18.262,9,4,-7.4,352.7,39.6,98519.3,4,2017,12,4,8,21,0,2017-12-08 21:51:34,2017-12-09 04:36:02,24268.0,6.7411111111111115,30.69999999999999,60.4,58.4,8.959947255645293,5,80.60000000000582,1.3801369863014696,574.25,0.5082781456953641,283.5969444444445,0,0.30235099337748345,2.7090489533542113,1
-39.8,369.4,95.2,15.41,16,6,-23.0,353.7,44.4,98592.0,4,2017,12,5,9,10,0,2017-12-09 10:17:27,2017-12-09 11:20:38,3791.0,1.0530555555555556,15.699999999999989,50.800000000000004,55.6,48.240569770509104,10,72.69999999999709,1.30755395683448,341.4166666666667,0.30905511811023595,284.65000000000003,0,0.3033464566929134,14.633605908731205,2
-7.6,382.6,100.0,14.139000000000001,6,3,-7.4,354.6,52.8,98636.7,4,2017,12,6,10,20,0,2017-12-10 20:58:53,2017-12-11 02:11:42,18769.0,5.213611111111111,28.0,47.2,42.400000000000006,9.05322606425489,3,44.69999999999709,1.0542452830187992,2018.25,0.5932203389830508,289.86361111111114,0,0.2995550847457627,2.7119399009004215,1
-19.4,370.7,98.0,19.808,14,2,-24.5,350.2,32.0,98718.7,4,2017,12,0,11,12,0,2017-12-11 12:40:10,2017-12-11 14:20:24,6014.0,1.6705555555555556,20.5,66.0,68.0,39.50781509810442,12,82.0,1.2058823529411764,628.4666666666667,0.3106060606060606,291.5341666666667,0,0.3001212121212121,11.857133355503825,2
-7.6,382.9,100.0,19.046,16,2,-7.4,351.9,36.0,98796.7,4,2017,12,0,11,20,0,2017-12-11 20:19:04,2017-12-12 03:51:38,27154.0,7.542777777777777,31.0,64.0,62.0,8.484937762392281,14,78.0,1.2580645161290323,358.6666666666667,0.484375,299.07694444444445,0,0.29759375,2.525064447226928,0
-40.0,374.8,98.0,19.765,14,3,-24.0,349.4,32.0,98877.6,4,2017,12,1,12,12,0,2017-12-12 12:17:26,2017-12-12 13:58:09,6043.0,1.678611111111111,25.400000000000034,66.0,68.0,39.3182194274367,11,80.90000000000873,1.1897058823530695,505.8,0.3848484848484854,300.7555555555556,0,0.299469696969697,11.774615257322523,2
-4.3,382.8,100.0,20.235,17,2,-7.4,350.6,33.2,98956.9,4,2017,12,1,12,20,0,2017-12-12 20:48:17,2017-12-13 05:00:42,29545.0,8.206944444444444,32.19999999999999,66.8,64.8,8.139448299204604,15,79.29999999998836,1.2237654320985858,410.1333333333333,0.48203592814371243,308.96250000000003,0,0.30291916167664673,2.4655948553054663,0
